idx,text,label
0,What a great day!!! Looks like dream.,"Positive User Experience  
"
1,"I feel sorry, I miss you here in the sea beach","Emotional Connection To Place  
"
2,Don't angry me,"Emotional Response To Situation  
"
3,We attend in the class just for listening teachers reading on slide. Just Nonsence  ,"Classroom Learning Experience   
"
4,"Those who want to go, let them go","Individual Choice Expression  
"
5,"Its night 2 am, feeling neutral","Sleep And Mood  
"
6,2 am feedings for the baby are fun when he is all smiles and coos,"Positive Baby Interactions  
"
7,Soooo high,"Emotional Response To Product  
"
8, Both of you,"Participant Interaction Dynamics   
"
9,Today first time I arrive in the boat. Its amazing journey,"Boat Travel Experience  
"
10,Love is something like E=MC^2 rules,"Conceptual Metaphor Usage  
"
11,I really really like the song Cardigan by Taylor Swift,"Musical Preference Expression  
"
12,My Sharpie is running DANGERously low on ink,"Ink Supply Depletion  
"
13,i want to go to music tonight but i lost my voice.,"Vocal Impairment Impact  
"
14,Always somewhere I miss you where I have been,"Emotional Absence  
"
15,Don't distrube me,"User Request For Privacy  
"
16,"I don't care, who are you and what can you do","User Disinterest  
"
17,i`ve been sick for the past few days ,"Recent Illness Experience  
"
18,"I'm come back home, my past job, its really good time for me","Positive Past Employment  
"
19,I will never fall in love until I found you,"Romantic Feelings Expression  
"
20," oh Maya, I`m so sorry!!  I hope you find her soon!! ","Concern For Missing Person 
"
21,"Playing with kids, its amazing","Play Experiences With Children  
"
22,is cleaning the house for her family who is comming later today..,"Household Preparation  
"
23,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,"User Interface Frustration  
"
24,"Follow me, I will follow you too","Social Reciprocity  
"
25,"Its amazing game, I playing everyday","Daily Gameplay Engagement  
"
26,  I`m sorry.,"Expression Of Regret  
"
27,"I'm in the village now and there hardly found internate, feeling gloomy","Village Internet Access  
"
28,juss came back from Barisal,"Travel Destination Preference  
"
29,Went to sleep and there is a power cut in the village. ,"Power Outage Experience  
"
30,How looks like our company new logo?,"Logo Perception  
"
31,"I buy Sophie's world book, I'm really so happy","Customer Satisfaction With Book  
"
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,"Body Mass Index Perception 
"
33, That`s very funny.  Cute kids.,"Positive Child Reactions   
"
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Sports Team Preference 
"
35,My semester final exam is complete. Hurray!!!,"Academic Achievement  
"
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,"Urban Nostalgia Experiences   
"
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","Content Creation Volume  
"
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,"Exhaustion After School  
"
39, romance zero is funny,"Humor Perception Romance Zero   
"
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Vehicle Damage Concerns 
"
41,Yor are so unromantic,"Relationship Dynamics  
"
42,MAYDAY?!,"Emergency Response  
"
43, I`d rather do the early run..but I am a morning runner,"Morning Running Preference 
"
44, I love to! But I`m only available from 5pm.  and where dear?,"Availability Constraints 
"
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,"Age Perception In Salon  
"
46, i talk to you,"Communication Preference   
"
47,"im soo bored, I don't like this music video","Boredom With MusicVideo  
"
48,this concert is amazing,"Concert Experience  
"
49,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now","Nicotine Patch Experience  
"
50,"Its raining, I need an umbrella ","Weather Preparedness  
"
51,should be sleeping.  lost my voice a couple day ago.,"Sleep Deprivation Symptoms 
"
52,"I'm depressed, I'm thinking about suicide, what I need to do now?","Mental Health Crisis  
"
53, I`ve heard this fall. I`m waiting too!,"Anticipation For Fall   
"
54,I saw an amazing nightmare yesterday night,"Dream Content Description  
"
55,I AM SUCH A CREEPER  I feel disappointed because of it.,"Social Discomfort Feelings 
"
56,"I have bad headech, what I need to do now","Pain Management Needs  
"
57,happy mother`s day to all moms out there. Mothers are our real hero,"Mothers Role As Heroes  
"
58,Grabbing coffee from  then making mom breakfast,"Morning Routine Activities 
"
59,im thinking that im going to have fun tonight,"Anticipation Of Enjoyment  
"
60,Yesterday was most valuable day for me,"Valuable Day Experience  
"
61," Haha I know, I cant handle the fame!  and thank you!","Humorous Self Deprecation   
"
62,"One suggestion for me is, be up to date","Staying Current Trends  
"
63,"Always love everyone, love all animals. Most important love your parents","Family And Affection  
"
64,I'm playing minecraft video game. I'm addicated to it.,"Minecraft Gameplay Engagement  
"
65,See you in the cloud,"Cloud Computing Preference  
"
66,What a great day!!! Looks like dream.,"Positive User Experience  
"
67,"I feel sorry, I miss you here in the sea beach","Emotional Connection To Place  
"
68,Don't angry me,"Emotional Response To Situation  
"
69,We attend in the class just for listening teachers reading on slide. Just Nonsence  ,"Classroom Learning Experience   
"
70,"Those who want to go, let them go","Individual Choice Expression  
"
71,"Its night 2 am, feeling neutral","Sleep And Mood  
"
72,2 am feedings for the baby are fun when he is all smiles and coos,"Positive Baby Interactions  
"
73,Soooo high,"Emotional Response To Product  
"
74, Both of you,"Participant Interaction Dynamics   
"
75,Today first time I arrive in the boat. Its amazing journey,"Boat Travel Experience  
"
76,Love is something like E=MC^2 rules,"Conceptual Metaphor Usage  
"
77,I really really like the song Cardigan by Taylor Swift,"Musical Preference Expression  
"
78,My Sharpie is running DANGERously low on ink,"Ink Supply Depletion  
"
79,i want to go to music tonight but i lost my voice.,"Vocal Impairment Impact  
"
80,Always somewhere I miss you where I have been,"Emotional Absence  
"
81,Don't distrube me,"User Request For Privacy  
"
82,"I don't care, who are you and what can you do","User Disinterest  
"
83,i`ve been sick for the past few days ,"Recent Illness Experience  
"
84,"I'm come back home, my past job, its really good time for me","Positive Past Employment  
"
85,I will never fall in love until I found you,"Romantic Feelings Expression  
"
86," oh Maya, I`m so sorry!!  I hope you find her soon!! ","Concern For Missing Person 
"
87,"Playing with kids, its amazing","Play Experiences With Children  
"
88,is cleaning the house for her family who is comming later today..,"Household Preparation  
"
89,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,"User Interface Frustration  
"
90,"Follow me, I will follow you too","Social Reciprocity  
"
91,"Its amazing game, I playing everyday","Daily Gameplay Engagement  
"
92,  I`m sorry.,"Expression Of Regret  
"
93,"I'm in the village now and there hardly found internate, feeling gloomy","Village Internet Access  
"
94,juss came back from Barisal,"Travel Destination Preference  
"
95,Went to sleep and there is a power cut in the village. ,"Power Outage Experience  
"
96,How looks like our company new logo?,"Logo Perception  
"
97,"I buy Sophie's world book, I'm really so happy","Customer Satisfaction With Book  
"
98, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,"Body Mass Index Perception 
"
99, That`s very funny.  Cute kids.,"Positive Child Reactions   
"
100," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Sports Team Preference 
"
101,My semester final exam is complete. Hurray!!!,"Academic Achievement  
"
102,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,"Urban Nostalgia Experiences   
"
103,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","Content Creation Volume  
"
104,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,"Exhaustion After School  
"
105, romance zero is funny,"Humor Perception Romance Zero   
"
106," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Vehicle Damage Concerns 
"
107,Yor are so unromantic,"Relationship Dynamics  
"
108,MAYDAY?!,"Emergency Response  
"
109, I`d rather do the early run..but I am a morning runner,"Morning Running Preference 
"
110, I love to! But I`m only available from 5pm.  and where dear?,"Availability Constraints 
"
111,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,"Age Perception In Salon  
"
112, i talk to you,"Communication Preference   
"
113,Grabbing coffee from  then making mom breakfast,"Morning Routine Activities 
"
114,im thinking that im going to have fun tonight....and maybe some changes are coming,"Anticipation Of Change  
"
115, thanks. before the major chop.,"User Feedback On Product   
"
116," Haha I know, I cant handle the fame!  and thank you!","Humorous Self Deprecation   
"
117,just got up and updated my ipod,"Device Usage Update  
"
118,"I still loving you, you are my love","Expressing Affection  
"
119,"Lets go, its time to play cricket match","Cricket Match Enthusiasm  
"
120,"Hey everyone, do you watch cricket match between eng vs aus yesterday","Cricket Match Viewing Habits  
"
121,Australia cricket team I love you,"Fan Expression Of Support  
"
122, which means you`re just going to have to come back to vancouver and have it our way! hahah,"Customer Satisfaction Expression   
"
123,Feeling smooth like chrome,"Sensory Product Description  
"
124,feeling gloomy,"Emotional State Gloom  
"
125,Today we will go a concert,"Concert Attendance Plans  
"
126,i need coffee too.,"Caffeine Consumption Desire  
"
127, Sounds like me,"User Identification   
"
128,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,"Regretful Life Reflection   
"
129,Walking to class. I hate not having a bike....especially mine.,"Student Transportation Preferences  
"
130,I'm start learning machine learning,"Learning Machine Learning  
"
131,failed inspection. ,"Inspection Outcome  
"
132,Lets sing a song,"Musical Expression  
"
133,happy father`s day to all the father in the world.,"Father Figure Recognition  
"
134,"Today, my semester final exam was really great","Exam Experience  
"
135,Really great day,"Positive User Experience  
"
136,The exception for a short dude,"Physical Attribute Exception  
"
137,Congratulation for your achievement,"Achievement Recognition  
"
138,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ","Social Media Following Limits  
"
139, Yes i work 9 to 5 ,"Work Schedule Preferences 
"
140," Hmmm, maybe that`s what they meant. ","Participant Interpretation   
"
141,Done at the spa   now meeting vic for some late lunch!,"Spa And Lunch Plans  
"
142,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,"Daily Routine Activities   
"
143, Always have wanted to go to university,"Aspirational Educational Goals 
"
144, Thanks,"Please provide the interview segment so I can generate a thematic label. 😊  
"
145,Really great football match,"Positive Sports Experience  
"
146,  that`s why I need to be there,"Need For Presence  
"
147,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,"Damaged Phone Screen Repair  
"
148, If only we could ever actually be allowed to stay here and do that,"Desire For Permanence 
"
149, Let me know how that turns out!!,"Please provide the interview segment so I can generate a thematic label. 😊  
"
150, was that sass I detect?  As long as it isn`t back sass! Haha,"Perceived User Tone   
"
151," yeah I was thinking about that ,ahaha","Thought Process Reflection   
"
152,Today is our EEE day,"Event Celebration Day  
"
153,I`m not sleeping at all until  accepts my appology,"Apology Resolution Process 
"
154,I'm studying in psychology,"Educational Aspirations  
"
155," I live for pain, bring it on","Pain Seeking Behavior 
"
156,"okay, i`m out for a while  back later!","User Departure Announcement   
"
157,"We visited worlds longest sea beach, Its really amazing time for us","Beach Visit Experience  
"
158,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,"Laptop Brightness Adjustment  
"
159,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,"Transportation Arrangements  
"
160,your attitude looks like autistics child,"Social Interaction Perception  
"
161,going to shower because i don`t want to smell at school tomorrow,"Hygiene Concerns School  
"
162,Do you know sign languages,"Language Communication Preference  
"
163, Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,"Pricing Concerns Candy   
"
164,may the fourth be with you! happy star wars day,"Star Wars Enthusiasm  
"
165,just got home from work,"Workday Experiences  
"
166, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,"Emotional Attachment To Animals 
"
167,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,"Teacher Workload And Satisfaction   
"
168, it was only once for my big brother,"Sibling Relationship Dynamics 
"
169,good news: finally finished my bachelor degree,"Educational Achievement  
"
170,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Morning Greeting And Thanks 
"
171,"yesterday I'm watch a movie, that’s was really motivated for me","Motivational Film Experience  
"
172,  hope he is ok!,"Concern For Well Being  
"
173,can`t school just be done already? it hurts too much... seeing him every day,"Daily Emotional Distress  
"
174,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?","Tumbleweed Communication  
"
175, Hell Yeah!,"Positive User Response   
"
176, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,"Clothing Brand Recognition   
"
177, i know!!,"User Experience Feedback   
"
178, Smelly? Noooo. I love alex Vixon,"Product Preference Expression   
"
179,"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday","Social Gathering Interaction   
"
180," Happy birthday! Just woke up on this side of Earth, so wishes are bit late","Time Zone Greetings 
"
181,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD","Parental Affection Expression   
"
182,HAPPY MOTHERS DAY.!,"Holiday Greeting Expression  
"
183," laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?","Self Confidence Expression   
"
184,  Thanks,"Please provide the interview segment so I can generate a thematic label.  
"
185,twittering after 2 days!,"Social Media Engagement  
"
186,Getting ready for week  Its too nice today to be stuck inside working!,"Weather Impact On Work   
"
187,I am tres depressed,"Emotional State Expression  
"
188,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.","Emotional Eating Sugar Almonds  
"
189,Happy Mothers Day people. i love my mom a lot still,"Affection For Mother  
"
190, I`m sorry to hear that.,"Empathy Expression 
"
191," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.","Celebrity Interaction Experience   
"
192," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!","Fan Enthusiasm For Nba   
"
193,Is getting the hang of Twitter.,"Social Media Engagement  
"
194,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,"Parking Space Accessibility  
"
195,I want it BACK NOW!,"Immediate Need  
"
196,Going to miss my roomie ... We will no longer be roomies starting tomorrow,"Roommate Transition  
"
197,"bathing with two little angels, Keyla and Janice.","Family Bathing Experience  
"
198," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe","Document Revision Process 
"
199, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,"Birthday Memory Recall Difficulty 
"
200,"Family is here,hanging with them","Social Gathering  
"
201,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,"Leisure Activities Enjoyment   
"
202, what`s goin on hun?  I`m worried about you,"Concern For Wellbeing 
"
203, Im not bannished... but I am at work till 6,"Work Schedule Constraints 
"
204," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.","Movie Preference Expression 
"
205,Grabbing coffee from  then making mom breakfast,"Morning Routine Activities 
"
206,im thinking that im going to have fun tonight....and maybe some changes are coming,"Anticipation Of Change  
"
207,Grabbing coffee from  then making mom breakfast,"Morning Routine Activities 
"
208,im thinking that im going to have fun tonight....and maybe some changes are coming,"Anticipation Of Change  
"
209, thanks. before the major chop.,"User Feedback On Product   
"
210," Haha I know, I cant handle the fame!  and thank you!","Humorous Self Deprecation   
"
211,just got up and updated my ipod,"Device Usage Update  
"
212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,"Travel Planning Experiences 
"
213, We never miss ICarly - my son has a huge crush on Miranda,"Childrens Media Consumption   
"
214,Saw James carville in the store today. His head is really that bald,"Physical Appearance Observation  
"
215,I love blue and programming,"Color Preference Programming  
"
216, which means you`re just going to have to come back to vancouver and have it our way! hahah,"Customer Satisfaction Expression   
"
217,Feeling smooth like chrome,"Sensory Product Description  
"
218,Errors are red but my life is looks like blue film,"Visual Perception Differences  
"
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","Multitasking Student Activities  
"
220,"Errors are red but my life is blue, I love rose and your lips baby","Emotional Color Associations  
"
221, Sounds like me,"User Identification   
"
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,"Regretful Life Reflection   
"
223,Walking to class. I hate not having a bike....especially mine.,"Student Transportation Preferences  
"
224,sounds good,"User Satisfaction  
"
225,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.","Product Packaging Frustration  
"
226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,","Concert Enthusiasm  
"
227,happy mother`s day to all the mothers in the world.,"Motherly Appreciation  
"
228,"I've got a fever, can you chcek, a good song, I'm listening this song everytime","Fever And Music Preference  
"
229,Fun night! Listened through the next episode of this turkey drama,"Entertainment Consumption Experience  
"
230,The exception for a short dude: Larenz fineass Tate yum,"Attractiveness Perception  
"
231,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.","Actor Preference Satisfaction  
"
232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.","Social Media Following Limits  
"
233, Yes i work 6 to 3...,"Work Schedule Preferences   
"
234," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is","Media Perception Of Novelty 
"
235,Done at the spa   now meeting vic for some late lunch!,"Spa And Lunch Plans  
"
236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,"Daily Routine Activities   
"
237, Always have wanted to go to Oz,"Desire For Travel Destination 
"
238, Thx,"User Experience Feedback 
"
239,I love this youtube tutorial,"Positive YouTube Experience  
"
240,  that`s why I need to be there...To represent the Blackberries,"Blackberry Representation  
"
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,"Damaged Phone Screen Repair  
"
242, If only we could ever actually be allowed to stay here and do that,"Desire For Permanence 
"
243, Let me know how that turns out!!,"Please provide the interview segment so I can generate a thematic label. 😊  
"
244, was that sass I detect?  As long as it isn`t back sass! Haha,"Perceived User Tone   
"
245," yeah I was thinking about that ,ahaha","Thought Process Reflection   
"
246, Dont know whether that helps. Google it to know more,"User Information Seeking 
"
247,I`m not sleeping at all until  accepts my appology,"Apology Resolution Process 
"
248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Celebrity Endorsement Impact  
"
249," I live for pain, bring it on","Pain Seeking Behavior 
"
250,"okay, i`m out for a while  back later!","User Departure Announcement   
"
251,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,"Newbie User Inquiry 
"
252,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,"Screen Brightness Impact 
"
253,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,"Transportation Arrangements  
"
254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??","Social Decision Making Process   
"
255,going to shower because i don`t want to smell at school tomorrow,"Hygiene Concerns School  
"
256, Sigh... you know I am...,"Expressive Nonverbal Communication   
"
257,"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow","Bug Resolution Process 
"
258,Here are 4 FREE notebooks to know machine learning well,"Learning Resources  
"
259,just got home from work.... and is chugging down a big bottle of apple juice.,"Post Work Beverage Consumption  
"
260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,"Emotional Attachment To Animals 
"
